day	positive%	neutral%	negative%
2024-03-03	50.00	0.00	50.00
2024-03-04	66.67	33.33	0.00
2024-03-05	66.67	33.33	0.00
2024-03-06	0.00	100.00	0.00
2024-03-07	100.00	0.00	0.00
2024-03-08	0.00	100.00	0.00
2024-03-09	33.33	0.00	66.67
2024-03-10	66.67	33.33	0.00
2024-03-11	0.00	100.00	0.00
2024-03-13	40.00	40.00	20.00
2024-03-14	100.00	0.00	0.00
2024-03-15	0.00	100.00	0.00
2024-03-16	0.00	0.00	100.00
2024-03-17	66.67	33.33	0.00
2024-03-18	14.29	71.43	14.29
2024-03-19	33.33	33.33	33.33
2024-03-20	25.00	50.00	25.00
2024-03-21	0.00	100.00	0.00
2024-03-22	33.33	33.33	33.33
2024-03-23	66.67	33.33	0.00
2024-03-24	100.00	0.00	0.00
2024-03-25	20.00	60.00	20.00
2024-03-26	0.00	100.00	0.00
2024-03-27	25.00	50.00	25.00
2024-03-28	25.00	75.00	0.00
2024-03-29	0.00	50.00	50.00
2024-03-30	100.00	0.00	0.00
2024-03-31	33.33	0.00	66.67
2024-04-03	33.33	66.67	0.00
2024-04-04	0.00	100.00	0.00
2024-04-05	25.00	75.00	0.00
2024-04-06	83.33	16.67	0.00
2024-04-07	0.00	50.00	50.00
2024-04-08	0.00	100.00	0.00
2024-04-10	0.00	100.00	0.00
2024-04-11	100.00	0.00	0.00
2024-04-12	28.57	71.43	0.00
2024-04-13	33.33	33.33	33.33
2024-04-14	100.00	0.00	0.00
2024-04-15	0.00	100.00	0.00
2024-04-16	50.00	50.00	0.00
2024-04-17	16.67	66.67	16.67
2024-04-18	25.00	75.00	0.00
2024-04-19	100.00	0.00	0.00
2024-04-20	40.00	40.00	20.00
2024-04-21	66.67	33.33	0.00
2024-04-22	0.00	100.00	0.00
2024-04-23	33.33	66.67	0.00
2024-04-24	33.33	66.67	0.00
2024-04-25	75.00	25.00	0.00
2024-04-26	75.00	25.00	0.00
2024-04-27	0.00	100.00	0.00
2024-04-28	80.00	0.00	20.00
2024-04-29	75.00	0.00	25.00
2024-04-30	33.33	66.67	0.00
2024-05-02	0.00	75.00	25.00
2024-05-03	100.00	0.00	0.00
2024-05-04	50.00	50.00	0.00
2024-05-05	0.00	100.00	0.00
2024-05-06	66.67	33.33	0.00
2024-05-08	0.00	100.00	0.00
2024-05-09	66.67	33.33	0.00
2024-05-11	50.00	25.00	25.00
2024-05-12	0.00	100.00	0.00
2024-05-13	50.00	50.00	0.00
2024-05-14	0.00	100.00	0.00
2024-05-15	0.00	100.00	0.00
2024-05-16	25.00	75.00	0.00
2024-05-17	0.00	100.00	0.00
2024-05-18	50.00	50.00	0.00
2024-05-19	33.33	66.67	0.00
2024-05-20	50.00	0.00	50.00
2024-05-21	50.00	50.00	0.00
2024-05-22	25.00	75.00	0.00
2024-05-23	50.00	50.00	0.00
2024-05-24	50.00	50.00	0.00
2024-05-26	50.00	0.00	50.00
2024-05-27	100.00	0.00	0.00
2024-05-28	40.00	60.00	0.00
2024-05-29	0.00	66.67	33.33
2024-05-30	0.00	100.00	0.00
2024-05-31	0.00	100.00	0.00
2024-06-01	60.00	40.00	0.00
2024-06-02	57.14	28.57	14.29
2024-06-03	66.67	33.33	0.00
2024-06-04	25.00	25.00	50.00
2024-06-05	100.00	0.00	0.00
2024-06-06	40.00	60.00	0.00
2024-06-07	0.00	66.67	33.33
2024-06-08	66.67	33.33	0.00
2024-06-09	25.00	25.00	50.00
2024-06-10	66.67	33.33	0.00
2024-06-11	66.67	33.33	0.00
2024-06-12	16.67	83.33	0.00
2024-06-13	0.00	100.00	0.00
2024-06-14	25.00	50.00	25.00
2024-06-15	33.33	66.67	0.00
2024-06-16	50.00	50.00	0.00
2024-06-17	66.67	33.33	0.00
2024-06-19	0.00	100.00	0.00
2024-06-20	33.33	33.33	33.33
2024-06-21	0.00	66.67	33.33
2024-06-22	0.00	100.00	0.00
2024-06-23	0.00	100.00	0.00
2024-06-24	80.00	20.00	0.00
2024-06-25	0.00	100.00	0.00
2024-06-26	0.00	100.00	0.00
2024-06-27	50.00	50.00	0.00
2024-06-28	28.57	57.14	14.29
2024-06-29	50.00	50.00	0.00
2024-06-30	66.67	33.33	0.00
2024-07-01	40.00	60.00	0.00
2024-07-02	50.00	0.00	50.00
2024-07-04	75.00	25.00	0.00
2024-07-05	100.00	0.00	0.00
2024-07-06	80.00	20.00	0.00
2024-07-07	66.67	33.33	0.00
2024-07-08	33.33	66.67	0.00
2024-07-09	0.00	70.00	30.00
2024-07-10	100.00	0.00	0.00
2024-07-13	25.00	50.00	25.00
2024-07-14	100.00	0.00	0.00
2024-07-16	20.00	80.00	0.00
2024-07-17	0.00	0.00	100.00
2024-07-18	33.33	33.33	33.33
2024-07-19	0.00	100.00	0.00
2024-07-20	33.33	66.67	0.00
2024-07-21	50.00	50.00	0.00
2024-07-22	50.00	50.00	0.00
2024-07-23	20.00	40.00	40.00
2024-07-24	100.00	0.00	0.00
2024-07-26	50.00	50.00	0.00
2024-07-27	0.00	100.00	0.00
2024-07-28	100.00	0.00	0.00
2024-07-29	33.33	66.67	0.00
2024-07-30	100.00	0.00	0.00
2024-07-31	50.00	50.00	0.00
2024-08-01	62.50	37.50	0.00
2024-08-02	100.00	0.00	0.00
2024-08-03	66.67	33.33	0.00
2024-08-04	25.00	75.00	0.00
2024-08-05	66.67	0.00	33.33
2024-08-06	0.00	100.00	0.00
2024-08-07	40.00	40.00	20.00
2024-08-08	33.33	33.33	33.33
2024-08-09	33.33	66.67	0.00
2024-08-10	60.00	40.00	0.00
2024-08-11	33.33	66.67	0.00
2024-08-12	33.33	50.00	16.67
2024-08-13	33.33	66.67	0.00
2024-08-14	25.00	75.00	0.00
2024-08-15	50.00	50.00	0.00
2024-08-16	0.00	100.00	0.00
2024-08-17	0.00	100.00	0.00
2024-08-18	33.33	66.67	0.00
2024-08-19	0.00	100.00	0.00
2024-08-20	100.00	0.00	0.00
2024-08-21	0.00	100.00	0.00
2024-08-22	100.00	0.00	0.00
2024-08-23	75.00	25.00	0.00
2024-08-24	33.33	66.67	0.00
2024-08-25	50.00	50.00	0.00
2024-08-26	66.67	33.33	0.00
2024-08-27	33.33	50.00	16.67
2024-08-29	66.67	33.33	0.00
2024-08-30	42.86	28.57	28.57
2024-08-31	0.00	0.00	100.00
2024-09-01	0.00	100.00	0.00
2024-09-02	100.00	0.00	0.00
2024-09-03	100.00	0.00	0.00
2024-09-04	25.00	50.00	25.00
2024-09-05	66.67	33.33	0.00
2024-09-06	100.00	0.00	0.00
2024-09-08	100.00	0.00	0.00
2024-09-09	50.00	50.00	0.00
2024-09-10	80.00	20.00	0.00
2024-09-11	25.00	75.00	0.00
2024-09-12	0.00	100.00	0.00
2024-09-13	0.00	50.00	50.00
2024-09-14	0.00	100.00	0.00
2024-09-15	0.00	100.00	0.00
2024-09-16	100.00	0.00	0.00
2024-09-17	33.33	50.00	16.67
2024-09-18	100.00	0.00	0.00
2024-09-19	50.00	50.00	0.00
2024-09-20	0.00	0.00	100.00
2024-09-22	0.00	100.00	0.00
2024-09-23	0.00	33.33	66.67
2024-09-24	0.00	100.00	0.00
2024-09-25	0.00	100.00	0.00
2024-09-26	75.00	25.00	0.00
2024-09-27	33.33	66.67	0.00
2024-09-28	0.00	100.00	0.00
2024-09-30	100.00	0.00	0.00
2024-10-01	0.00	100.00	0.00
2024-10-02	0.00	100.00	0.00
2024-10-05	0.00	66.67	33.33
2024-10-06	66.67	33.33	0.00
2024-10-07	50.00	33.33	16.67
2024-10-09	25.00	50.00	25.00
2024-10-10	100.00	0.00	0.00
2024-10-11	50.00	25.00	25.00
2024-10-12	0.00	100.00	0.00
2024-10-13	33.33	33.33	33.33
2024-10-14	50.00	25.00	25.00
2024-10-15	0.00	100.00	0.00
2024-10-16	0.00	100.00	0.00
2024-10-17	0.00	100.00	0.00
2024-10-18	75.00	25.00	0.00
2024-10-20	0.00	50.00	50.00
2024-10-21	66.67	0.00	33.33
2024-10-22	25.00	75.00	0.00
2024-10-23	0.00	50.00	50.00
2024-10-24	0.00	100.00	0.00
2024-10-25	33.33	66.67	0.00
2024-10-26	33.33	66.67	0.00
2024-10-27	40.00	60.00	0.00
2024-10-28	25.00	75.00	0.00
2024-10-29	0.00	100.00	0.00
2024-10-30	100.00	0.00	0.00
2024-10-31	100.00	0.00	0.00
2024-11-01	60.00	40.00	0.00
2024-11-02	33.33	66.67	0.00
2024-11-03	33.33	66.67	0.00
2024-11-04	33.33	66.67	0.00
2024-11-05	100.00	0.00	0.00
2024-11-06	50.00	50.00	0.00
2024-11-07	50.00	50.00	0.00
2024-11-08	57.14	42.86	0.00
2024-11-09	50.00	0.00	50.00
2024-11-10	50.00	50.00	0.00
2024-11-11	100.00	0.00	0.00
2024-11-12	50.00	50.00	0.00
2024-11-13	33.33	66.67	0.00
2024-11-15	50.00	50.00	0.00
2024-11-16	0.00	100.00	0.00
2024-11-17	50.00	25.00	25.00
2024-11-18	66.67	33.33	0.00
2024-11-19	50.00	50.00	0.00
2024-11-20	0.00	100.00	0.00
2024-11-21	0.00	100.00	0.00
2024-11-22	100.00	0.00	0.00
2024-11-23	0.00	66.67	33.33
2024-11-24	33.33	33.33	33.33
2024-11-25	0.00	100.00	0.00
2024-11-26	50.00	0.00	50.00
2024-11-27	66.67	33.33	0.00
2024-11-28	50.00	50.00	0.00
2024-11-29	0.00	100.00	0.00
2024-11-30	33.33	66.67	0.00
2024-12-01	100.00	0.00	0.00
2024-12-02	50.00	50.00	0.00
2024-12-03	33.33	66.67	0.00
2024-12-04	66.67	33.33	0.00
2024-12-05	33.33	33.33	33.33
2024-12-06	20.00	80.00	0.00
2024-12-07	50.00	50.00	0.00
2024-12-08	0.00	100.00	0.00
2024-12-09	100.00	0.00	0.00
2024-12-10	60.00	40.00	0.00
2024-12-11	0.00	66.67	33.33
2024-12-12	75.00	25.00	0.00
2024-12-13	20.00	80.00	0.00
2024-12-15	0.00	0.00	100.00
2024-12-16	0.00	100.00	0.00
2024-12-17	0.00	100.00	0.00
2024-12-18	100.00	0.00	0.00
2024-12-20	33.33	33.33	33.33
2024-12-22	0.00	100.00	0.00
2024-12-23	0.00	100.00	0.00
2024-12-24	33.33	33.33	33.33
2024-12-25	50.00	50.00	0.00
2024-12-26	66.67	33.33	0.00
2024-12-27	100.00	0.00	0.00
2024-12-28	100.00	0.00	0.00
2024-12-29	33.33	66.67	0.00
2024-12-30	50.00	50.00	0.00
2024-12-31	0.00	100.00	0.00
